id,gender,old,trygame,q_ans,t_ans1,t_ans2,type
111,other,5,0,"2,3,7,4,5,5,2,4,5,3,3,3,3,4,3",,,M
109051026,female,4,1,"3,2,5,3,4,5,4,4,7,3,4,6,4,3,4",,,A
109051026,female,4,1,"3,2,5,4,4,5,4,5,7,3,4,5,4,3,4",,,A
109051032,female,4,0,"1,1,7,7,1,5,7,7,4,4,4,4,3,5,5",,,A
109051057,male,4,1,"4,3,5,5,5,5,4,3,6,5,2,2,4,5,3",,,M
109051060,female,4,1,"2,1,7,2,7,6,5,5,4,7,4,5,6,7,5",,,D
109051066,male,4,0,"4,1,7,1,5,5,6,6,6,1,3,3,4,4,3",,,A
109051219,male,4,0,"2,2,6,4,7,5,5,5,4,4,4,4,4,2,5",,,M
109051368,male,4,0,"2,1,7,2,1,5,5,2,2,2,7,7,6,2,3",,時間對不上找不到隊友討論,D
109053060,female,4,0,"1,1,6,5,4,5,4,5,4,4,5,6,5,5,4",,,D
110021061,female,3,1,"5,5,2,2,5,5,4,6,3,2,2,2,1,4,5",,,M
110021071,male,3,1,"5,5,3,5,5,5,5,5,4,3,5,4,5,2,3",,,M
110021072,male,3,1,"5,4,3,3,5,6,6,4,4,3,5,4,5,2,3",,,M
110021187,male,3,1,"6,6,2,2,5,6,6,6,2,5,6,4,5,4,4",,,M
110051004,female,3,1,"3,3,6,4,6,6,4,6,4,4,5,6,3,3,4",,,M
110051006,female,3,1,"5,3,5,3,6,6,5,5,5,5,4,2,3,3,2",,,M
110051027,male,3,0,"3,4,6,5,5,5,5,4,6,3,5,4,4,2,3",,,M
110051033,female,3,1,"1,1,7,7,1,7,4,4,5,1,2,3,4,3,5",,,M
110051047,other,3,1,"4,3,3,3,6,6,6,7,3,4,6,5,3,2,3",有趣的測驗,溝通很重要但很難，總覺得很難跟一些人有共識,A
110051050,female,3,1,"5,3,2,1,5,7,6,6,7,2,1,1,3,2,4",,,A
110051060,female,3,1,"4,3,6,4,4,6,6,5,5,3,3,4,4,3,5",,,M
110051066,male,3,1,"7,6,4,1,6,6,6,7,3,4,6,2,5,3,2",,,M
110051091,male,2,1,"4,4,6,3,6,6,3,6,7,6,6,3,6,4,4",,,M
111051006,male,2,1,"3,2,5,5,5,4,4,5,4,5,4,3,5,3,3",,否,M
111051009,female,2,1,"5,4,4,5,6,5,5,3,5,4,5,4,3,4,3",,,M
111051011,female,2,1,"3,2,6,6,6,6,4,5,6,4,5,2,4,3,4",,如何與人有效的溝通,M
111051012,female,2,1,"1,1,7,7,7,7,6,6,7,4,1,1,4,4,4",,,M
111051012,female,2,1,"1,1,7,7,7,7,4,6,7,4,1,1,4,4,4",,,M
111051016,female,2,1,"1,1,7,6,3,7,6,7,2,4,3,4,4,3,2",,,A
111051021,female,2,1,"1,1,4,4,4,6,5,6,4,3,4,5,4,3,4",,,A
111051021,female,2,1,"1,1,5,4,4,6,6,6,5,3,5,5,4,4,5",,,A
111051025,female,2,1,"2,2,7,7,7,7,7,7,4,6,7,7,4,7,3",,,M
111051025,female,2,1,"2,2,7,6,7,7,7,7,7,6,7,7,4,7,3",,,A
111051041,female,2,0,"3,2,3,6,3,7,5,6,5,5,6,3,5,3,3",,,A
111051042,male,2,1,"5,6,5,3,6,6,4,1,5,1,1,5,5,2,5",,,M
111051043,female,2,1,"4,3,3,4,4,4,5,5,4,4,4,4,4,4,3",,,M
111051053,male,2,1,"4,4,3,3,5,5,5,5,4,4,5,6,6,3,5",,,D
111051061,female,2,1,"5,3,7,4,6,4,2,5,7,3,3,4,3,4,3",,,M
111051065,female,2,1,"3,3,3,4,6,6,5,6,5,7,7,5,4,4,4",,,A
111051065,female,2,1,"3,3,3,4,6,6,5,6,5,7,7,5,4,4,4",,,A
111051074,female,2,0,"1,1,6,5,4,6,6,5,4,3,5,3,2,5,2",,,A
111051077,female,2,1,"5,5,4,3,6,4,4,6,4,4,3,3,5,2,5",,,M
111051077,female,2,1,"5,4,4,3,6,6,5,5,4,4,3,3,4,2,5",,,M
111051079,female,2,1,"4,3,5,2,5,4,4,5,5,4,3,4,5,1,4",,,M
111051096,male,2,0,"3,2,6,4,5,4,5,6,3,2,6,3,4,5",,,M
111051103,male,3,1,"1,1,2,7,7,7,7,7,5,1,4,4,7,5,5",,,D
112051126,female,2,0,"3,2,5,5,4,5,4,4,4,3,4,2,4,4,3",,,M
 ,other,5,0,"1,1,7,7,7,7,7,7,7,7,7,1,1,1,1",,,A
 ,female,3,1,"3,4,5,1,7,6,5,7,5,4,6,4,5,4,6", ,,A
  ,other,5,1,"7,7,7,7,7,7,7,7,7,7,7,7,7,7,7",,,M
